native_exponential_bias,eta_exponential5,native_uniform_bias,native_uniform,eta_uniform5,native_normal_bias,native_normal,eta_45_normal
*,*,*,*,70-79,*,*,40-59
*,*,*,*,80-89,*,*,0-19
*,*,*,*,30-39,*,*,20-39
*,*,*,*,0-9,*,*,20-39
*,*,*,*,30-39,*,*,40-59
*,*,*,*,30-39,*,*,20-39
*,*,*,*,30-39,*,*,20-39
*,*,*,*,90-99,*,*,40-59
*,*,*,*,50-59,*,*,20-39
*,*,*,*,60-69,*,*,60-79
*,*,*,*,80-89,*,*,20-39
*,*,*,*,60-69,*,*,40-59
*,*,*,*,90-99,*,*,40-59
*,*,*,*,50-59,*,*,40-59
*,*,*,*,10-19,*,*,40-59
*,*,*,*,10-19,*,*,60-79
*,*,*,*,70-79,*,*,0-19
*,*,*,*,70-79,*,*,40-59
*,*,*,*,50-59,*,*,40-59
*,*,*,*,40-49,*,*,40-59
*,*,*,*,40-49,*,*,40-59
*,*,*,*,10-19,*,*,40-59
*,*,*,*,90-99,*,*,40-59
*,*,*,*,50-59,*,*,20-39
*,*,*,*,70-79,*,*,20-39
*,*,*,*,60-69,*,*,40-59
*,*,*,*,90-99,*,*,40-59
*,*,*,*,40-49,*,*,60-79
*,*,*,*,70-79,*,*,40-59
*,*,*,*,30-39,*,*,20-39
*,*,*,*,60-69,*,*,40-59
*,*,*,*,0-9,*,*,60-79
*,*,*,*,60-69,*,*,40-59
*,*,*,*,30-39,*,*,40-59
*,*,*,*,0-9,*,*,40-59
*,*,*,*,90-99,*,*,40-59
*,*,*,*,50-59,*,*,40-59
*,*,*,*,50-59,*,*,40-59
*,*,*,*,0-9,*,*,20-39
*,*,*,*,40-49,*,*,40-59
*,*,*,*,70-79,*,*,40-59
*,*,*,*,30-39,*,*,20-39
*,*,*,*,60-69,*,*,40-59
*,*,*,*,*,*,*,*
*,*,*,*,30-39,*,*,40-59
*,*,*,*,40-49,*,*,20-39
*,*,*,*,70-79,*,*,20-39
*,*,*,*,*,*,*,*
*,*,*,*,80-89,*,*,20-39
*,*,*,*,70-79,*,*,20-39
*,*,*,*,80-89,*,*,60-79
*,*,*,*,0-9,*,*,60-79
*,*,*,*,40-49,*,*,40-59
*,*,*,*,0-9,*,*,40-59
*,*,*,*,70-79,*,*,0-19
*,*,*,*,50-59,*,*,60-79
*,*,*,*,20-29,*,*,60-79
*,*,*,*,80-89,*,*,20-39
*,*,*,*,90-99,*,*,0-19
*,*,*,*,10-19,*,*,60-79
*,*,*,*,80-89,*,*,40-59
*,*,*,*,10-19,*,*,40-59
*,*,*,*,40-49,*,*,20-39
*,*,*,*,40-49,*,*,60-79
*,*,*,*,80-89,*,*,20-39
*,*,*,*,30-39,*,*,40-59
*,*,*,*,80-89,*,*,40-59
*,*,*,*,20-29,*,*,60-79
*,*,*,*,70-79,*,*,60-79
*,*,*,*,70-79,*,*,20-39
*,*,*,*,30-39,*,*,20-39
*,*,*,*,30-39,*,*,60-79
*,*,*,*,50-59,*,*,40-59
*,*,*,*,60-69,*,*,40-59
*,*,*,*,0-9,*,*,20-39
*,*,*,*,80-89,*,*,40-59
*,*,*,*,*,*,*,*
*,*,*,*,70-79,*,*,40-59
*,*,*,*,80-89,*,*,20-39
*,*,*,*,0-9,*,*,20-39
*,*,*,*,80-89,*,*,20-39
*,*,*,*,80-89,*,*,60-79
*,*,*,*,90-99,*,*,40-59
*,*,*,*,10-19,*,*,20-39
*,*,*,*,70-79,*,*,20-39
*,*,*,*,0-9,*,*,20-39
*,*,*,*,30-39,*,*,20-39
*,*,*,*,70-79,*,*,40-59
*,*,*,*,40-49,*,*,40-59
*,*,*,*,*,*,*,*
*,*,*,*,90-99,*,*,40-59
*,*,*,*,40-49,*,*,20-39
*,*,*,*,*,*,*,*
*,*,*,*,90-99,*,*,0-19
*,*,*,*,90-99,*,*,20-39
*,*,*,*,80-89,*,*,20-39
*,*,*,*,70-79,*,*,20-39
*,*,*,*,30-39,*,*,60-79
*,*,*,*,60-69,*,*,40-59
*,*,*,*,30-39,*,*,40-59
*,*,*,*,90-99,*,*,40-59
*,*,*,*,80-89,*,*,40-59
*,*,*,*,*,*,*,*
*,*,*,*,20-29,*,*,60-79
*,*,*,*,30-39,*,*,60-79
*,*,*,*,20-29,*,*,60-79
*,*,*,*,90-99,*,*,60-79
*,*,*,*,40-49,*,*,40-59
*,*,*,*,0-9,*,*,40-59
*,*,*,*,80-89,*,*,60-79
*,*,*,*,0-9,*,*,40-59
*,*,*,*,40-49,*,*,40-59
*,*,*,*,30-39,*,*,60-79
*,*,*,*,0-9,*,*,40-59
*,*,*,*,0-9,*,*,40-59
*,*,*,*,30-39,*,*,0-19
*,*,*,*,10-19,*,*,40-59
*,*,*,*,20-29,*,*,40-59
*,*,*,*,20-29,*,*,40-59
*,*,*,*,40-49,*,*,60-79
*,*,*,*,10-19,*,*,60-79
*,*,*,*,30-39,*,*,60-79
*,*,*,*,80-89,*,*,40-59
*,*,*,*,60-69,*,*,20-39
*,*,*,*,80-89,*,*,20-39
*,*,*,*,70-79,*,*,20-39
*,*,*,*,0-9,*,*,60-79
*,*,*,*,20-29,*,*,20-39
*,*,*,*,20-29,*,*,40-59
*,*,*,*,90-99,*,*,40-59
*,*,*,*,0-9,*,*,20-39
*,*,*,*,50-59,*,*,0-19
*,*,*,*,20-29,*,*,20-39
*,*,*,*,50-59,*,*,40-59
*,*,*,*,50-59,*,*,40-59
*,*,*,*,40-49,*,*,40-59
*,*,*,*,40-49,*,*,40-59
*,*,*,*,10-19,*,*,40-59
*,*,*,*,90-99,*,*,40-59
*,*,*,*,30-39,*,*,40-59
*,*,*,*,70-79,*,*,20-39
*,*,*,*,30-39,*,*,20-39
*,*,*,*,80-89,*,*,0-19
*,*,*,*,70-79,*,*,0-19
*,*,*,*,80-89,*,*,20-39
*,*,*,*,40-49,*,*,40-59
*,*,*,*,50-59,*,*,40-59
*,*,*,*,90-99,*,*,20-39
*,*,*,*,30-39,*,*,20-39
*,*,*,*,70-79,*,*,20-39
*,*,*,*,70-79,*,*,40-59
*,*,*,*,20-29,*,*,20-39
*,*,*,*,90-99,*,*,20-39
*,*,*,*,10-19,*,*,40-59
*,*,*,*,50-59,*,*,40-59
*,*,*,*,50-59,*,*,40-59
*,*,*,*,50-59,*,*,20-39
*,*,*,*,70-79,*,*,40-59
*,*,*,*,70-79,*,*,40-59
*,*,*,*,80-89,*,*,60-79
*,*,*,*,60-69,*,*,40-59
*,*,*,*,0-9,*,*,40-59
*,*,*,*,60-69,*,*,60-79
*,*,*,*,10-19,*,*,40-59
*,*,*,*,70-79,*,*,20-39
*,*,*,*,20-29,*,*,60-79
*,*,*,*,50-59,*,*,40-59
*,*,*,*,0-9,*,*,40-59
*,*,*,*,30-39,*,*,40-59
*,*,*,*,30-39,*,*,60-79
*,*,*,*,80-89,*,*,40-59
*,*,*,*,40-49,*,*,20-39
*,*,*,*,30-39,*,*,40-59
*,*,*,*,30-39,*,*,0-19
*,*,*,*,80-89,*,*,60-79
*,*,*,*,70-79,*,*,60-79
*,*,*,*,30-39,*,*,20-39
*,*,*,*,50-59,*,*,0-19
*,*,*,*,70-79,*,*,60-79
*,*,*,*,*,*,*,*
*,*,*,*,10-19,*,*,40-59
*,*,*,*,50-59,*,*,40-59
*,*,*,*,90-99,*,*,80-99
*,*,*,*,80-89,*,*,60-79
*,*,*,*,10-19,*,*,60-79
*,*,*,*,20-29,*,*,20-39
*,*,*,*,70-79,*,*,0-19
*,*,*,*,70-79,*,*,40-59
*,*,*,*,0-9,*,*,40-59
*,*,*,*,40-49,*,*,20-39
*,*,*,*,0-9,*,*,40-59
*,*,*,*,30-39,*,*,0-19
*,*,*,*,70-79,*,*,40-59
*,*,*,*,*,*,*,*
*,*,*,*,0-9,*,*,40-59
*,*,*,*,*,*,*,*
*,*,*,*,60-69,*,*,20-39
*,*,*,*,70-79,*,*,20-39
*,*,*,*,60-69,*,*,60-79
*,*,*,*,80-89,*,*,40-59
*,*,*,*,0-9,*,*,20-39
*,*,*,*,20-29,*,*,20-39
*,*,*,*,*,*,*,*
*,*,*,*,20-29,*,*,20-39
*,*,*,*,30-39,*,*,0-19
*,*,*,*,*,*,*,*
*,*,*,*,10-19,*,*,40-59
*,*,*,*,40-49,*,*,60-79
*,*,*,*,80-89,*,*,40-59
*,*,*,*,0-9,*,*,60-79
*,*,*,*,60-69,*,*,60-79
*,*,*,*,90-99,*,*,60-79
*,*,*,*,80-89,*,*,20-39
*,*,*,*,10-19,*,*,20-39
*,*,*,*,*,*,*,*
*,*,*,*,90-99,*,*,20-39
*,*,*,*,50-59,*,*,0-19
*,*,*,*,20-29,*,*,40-59
*,*,*,*,10-19,*,*,20-39
*,*,*,*,50-59,*,*,40-59
*,*,*,*,70-79,*,*,0-19
*,*,*,*,50-59,*,*,60-79
*,*,*,*,60-69,*,*,20-39
*,*,*,*,80-89,*,*,40-59
*,*,*,*,70-79,*,*,40-59
*,*,*,*,20-29,*,*,20-39
*,*,*,*,30-39,*,*,40-59
*,*,*,*,70-79,*,*,40-59
*,*,*,*,0-9,*,*,40-59
*,*,*,*,90-99,*,*,20-39
*,*,*,*,80-89,*,*,40-59
*,*,*,*,10-19,*,*,60-79
*,*,*,*,60-69,*,*,40-59
*,*,*,*,10-19,*,*,40-59
*,*,*,*,60-69,*,*,20-39
*,*,*,*,90-99,*,*,80-99
*,*,*,*,80-89,*,*,60-79
*,*,*,*,0-9,*,*,40-59
*,*,*,*,30-39,*,*,60-79
*,*,*,*,90-99,*,*,40-59
*,*,*,*,20-29,*,*,40-59
*,*,*,*,90-99,*,*,60-79
*,*,*,*,60-69,*,*,40-59
*,*,*,*,40-49,*,*,40-59
*,*,*,*,40-49,*,*,20-39
*,*,*,*,30-39,*,*,20-39
*,*,*,*,90-99,*,*,20-39
*,*,*,*,30-39,*,*,20-39
*,*,*,*,0-9,*,*,40-59
*,*,*,*,60-69,*,*,60-79
*,*,*,*,90-99,*,*,40-59
*,*,*,*,60-69,*,*,60-79
*,*,*,*,60-69,*,*,20-39
*,*,*,*,80-89,*,*,0-19
*,*,*,*,10-19,*,*,60-79
*,*,*,*,0-9,*,*,20-39
*,*,*,*,30-39,*,*,40-59
*,*,*,*,70-79,*,*,40-59
*,*,*,*,60-69,*,*,40-59
*,*,*,*,50-59,*,*,40-59
*,*,*,*,90-99,*,*,0-19
*,*,*,*,30-39,*,*,60-79
*,*,*,*,40-49,*,*,60-79
*,*,*,*,60-69,*,*,60-79
*,*,*,*,30-39,*,*,40-59
*,*,*,*,50-59,*,*,60-79
*,*,*,*,10-19,*,*,20-39
*,*,*,*,70-79,*,*,40-59
*,*,*,*,90-99,*,*,80-99
*,*,*,*,70-79,*,*,0-19
*,*,*,*,90-99,*,*,20-39
*,*,*,*,70-79,*,*,40-59
*,*,*,*,90-99,*,*,0-19
*,*,*,*,90-99,*,*,20-39
*,*,*,*,90-99,*,*,40-59
*,*,*,*,0-9,*,*,60-79
*,*,*,*,10-19,*,*,40-59
*,*,*,*,30-39,*,*,20-39
*,*,*,*,90-99,*,*,40-59
*,*,*,*,10-19,*,*,20-39
*,*,*,*,50-59,*,*,20-39
*,*,*,*,60-69,*,*,40-59
*,*,*,*,80-89,*,*,40-59
*,*,*,*,60-69,*,*,40-59
*,*,*,*,0-9,*,*,20-39
*,*,*,*,90-99,*,*,40-59
*,*,*,*,30-39,*,*,40-59
*,*,*,*,90-99,*,*,40-59
*,*,*,*,80-89,*,*,20-39
*,*,*,*,80-89,*,*,40-59
*,*,*,*,0-9,*,*,40-59
*,*,*,*,90-99,*,*,0-19
*,*,*,*,90-99,*,*,40-59
*,*,*,*,80-89,*,*,0-19
*,*,*,*,30-39,*,*,40-59
*,*,*,*,50-59,*,*,20-39
*,*,*,*,60-69,*,*,60-79
